# Mon Jul 10 04:47:33 2017
# ___#___  __ChiSq__  __params__
  (0,)     297.000000   [1.5, 1.5, 0.69999999999999996]
  (1,)     26.522040   [1.2113362145982269, 0.95638094624507708, 0.9753296894188529]
  (2,)     0.002383   [0.97806682845001902, 0.95647258250091538, 0.91461515859000675]
  (3,)     0.002378   [0.97806678259585367, 0.95647302095342934, 0.91484176094245706]
  (4,)     0.001940   [0.98114114297473043, 0.96441355347679036, 0.92993668677408803]
  (5,)     0.001141   [0.98818564317036295, 0.97871088182614441, 0.95707347166704015]
  (6,)     0.000769   [0.99349442273564947, 0.98943871687515983, 0.97838923433495983]
  (7,)     0.000125   [1.0016254774786404, 1.0042736699983477, 1.0085157126888404]
  (8,)     0.000042   [1.0008721596060353, 1.0022982744788753, 1.0048280127190743]
  (9,)     0.000000   [0.99998273322728393, 0.99996883870510667, 0.99993396022557191]
  (10,)     0.000000   [1.0000003479280963, 1.0000010320002408, 1.0000011658503443]
  (11,)     0.000000   [1.000000017188823, 1.0000000329498304, 1.0000000657927666]
  (12,)     0.000000   [0.99999999995708011, 0.99999999982829002, 0.99999999962224262]
  (13,)     0.000000   [1.0000000000000213, 0.99999999999960232, 0.99999999999902867]
  (14,)     0.000000   [1.0000000000000004, 0.999999999999998, 0.99999999999999434]
# STOP("NormalizedChangeOverGeneration with {'tolerance': 0.0001, 'generations': 2}")
